Client ID,Byzantine,Initial Trust,Final Trust,Initial Tier,Final Tier,Tier Changes
1777399994...,,1.000,1.000,3,3,0
1802227698...,,1.000,1.000,3,3,0
2980571003...,,1.000,1.000,3,3,0
1453580201...,,1.000,1.000,3,3,0
9843418695...,,1.000,1.000,3,3,0
1228097431...,,1.000,1.000,3,3,0
8518608208...,,1.000,1.000,3,3,0
6490325228...,,1.000,1.000,3,3,0
1297711695...,,1.000,1.000,3,3,0
6506669171...,,1.000,1.000,3,3,0
1635360718...,,1.000,1.000,3,3,0
1241935937...,,1.000,1.000,3,3,0
1586811319...,,1.000,1.000,3,3,0
5538255821...,,1.000,1.000,3,3,0
4907089788...,,1.000,1.000,3,3,0
1121405382...,,1.000,1.000,3,3,0
3041272779...,,1.000,1.000,3,3,0
1591995686...,,1.000,1.000,3,3,0
1258237930...,,1.000,1.000,3,3,0
1269809195...,,1.000,1.000,3,3,0
7204660452...,,1.000,1.000,3,3,0
1516116541...,,1.000,1.000,3,3,0
1411950406...,,1.000,1.000,3,3,0
1700647606...,,1.000,1.000,3,3,0
1081563183...,,1.000,0.900,3,3,0
1521959883...,,1.000,0.900,3,3,0
1592237111...,,0.259,0.634,1,2,3
1190567591...,,0.293,0.624,1,2,1
2158175185...,,0.308,0.615,2,2,0
3047360774...,,0.237,0.590,1,2,1
4897205064...,,0.308,0.588,2,2,0
1007515048...,,0.155,0.583,1,2,1
1088355150...,,0.325,0.530,2,2,2
8854940822...,,0.482,0.523,2,2,0
1142612155...,,0.214,0.520,1,2,5
4548113206...,,0.195,0.519,1,2,1
9845061184...,,0.378,0.506,2,2,2
1274881317...,,0.373,0.504,2,2,2
3588306110...,,0.394,0.498,2,2,6
8919051056...,,0.458,0.482,2,2,0
8556520921...,,0.232,0.481,1,2,1
1015393104...,,0.320,0.479,2,2,2
1369370631...,,0.370,0.477,2,2,4
9760131425...,,0.241,0.473,1,2,3
6216198302...,,0.393,0.471,2,2,0
7852205635...,,0.307,0.462,2,2,4
1830928886...,,0.046,0.453,1,2,5
9439394225...,,0.328,0.452,2,2,0
2087261387...,,0.278,0.450,1,2,1
4074418822...,,0.106,0.442,1,2,5
1209546049...,,0.335,0.440,2,2,4
5973470868...,,0.315,0.435,2,2,0
1381345350...,,0.076,0.433,1,2,1
7955529486...,,0.212,0.431,1,2,3
9479246116...,,0.383,0.430,2,2,0
7462334959...,,0.106,0.429,1,2,3
8944672902...,,0.203,0.428,1,2,3
1654605505...,,0.046,0.414,1,2,3
6125103658...,,0.093,0.414,1,2,1
1437862928...,,0.186,0.406,1,2,1
1249344649...,,0.325,0.399,2,2,2
1008065513...,,0.112,0.395,1,2,9
4909469290...,,0.385,0.393,2,2,2
4310930406...,,0.343,0.387,2,2,6
1779946837...,,0.336,0.385,2,2,0
3910256691...,,0.307,0.383,2,2,2
2884949575...,,0.244,0.382,1,2,3
4835752838...,,0.046,0.368,1,2,3
1726833607...,,0.218,0.364,1,2,1
6046034647...,,0.253,0.360,1,2,5
1223756301...,,0.263,0.355,1,2,1
8481180035...,,0.061,0.340,1,2,5
1434619051...,,0.351,0.340,2,2,2
1686364994...,,0.239,0.338,1,2,11
8642620872...,,0.321,0.337,2,2,2
4891399378...,,0.298,0.325,1,2,1
2903048537...,,0.249,0.310,1,2,3
9984936903...,,0.033,0.234,1,1,0
2901955705...,,0.033,0.234,1,1,0
3865951974...,,0.033,0.234,1,1,0
9529388848...,,0.033,0.234,1,1,0
4775606931...,,0.033,0.234,1,1,0
1559210987...,,0.033,0.234,1,1,0
1801281381...,,0.033,0.234,1,1,0
1103545845...,,0.033,0.234,1,1,0
6555635346...,,0.033,0.234,1,1,0
3451987568...,,0.033,0.234,1,1,0
5009682042...,,0.033,0.234,1,1,0
4930421357...,,0.033,0.234,1,1,0
6855825505...,,0.033,0.234,1,1,0
4009180611...,,0.033,0.234,1,1,0
1036781685...,,0.033,0.234,1,1,0
3294759931...,,0.033,0.234,1,1,0
1562988508...,,0.000,0.000,1,1,0
1782967129...,,0.000,0.000,1,1,0
5342190019...,,0.000,0.000,1,1,0
9212868431...,,0.000,0.000,1,1,0
1584998133...,,0.000,0.000,1,1,0
1149903197...,,0.000,0.000,1,1,0
1302086866...,,0.000,0.000,1,1,0
1610158227...,,0.000,0.000,1,1,0
1156808929...,,0.000,0.000,1,1,0
3426456483...,,0.000,0.000,1,1,0
1162903053...,,0.000,0.000,1,1,0
